Question Stem,Correct1,Incorrect1,Incorrect 2,Incorrect 3,Category1,Category2,Category3,Category4,,
Mulberry molars & Hutchinson incisors are associated with what?,Congenital syphilis,Primary syphilis,Secondary syphilis,Tertiary syphilis,Dental Anomalies,Infection,Bacterial/Fungal,,,
A heat intolerant male with sparse fine hair displays oligodontia on clinical examination. Your clinical impression is ,Ectodermal dysplasia,Male pattern baldness,White sponge nevus,HBID,Dental Anomalies,Syndromes,Dermatologic,,,
"A male with thin hair, sparse eyebrow and lashes has hypodontia and conical teeth. You suspect __________ and ask the patient about __________.",Ectodermal dysplasia / Heat intolerance,Cleidocranial dysplasia / shoulder approximation,Marfan syndrome / SBE prophylaxis,Male pattern baldness / Difficulty meeting women,Dental Anomalies,Syndromes,Dermatologic,,,
"Thickening of a tooth root is __________, while destruction of a tooth root is __________.",Hypercementosis / External resorption,Periapical periodontitis / Hypercementosis,Pulp calcification / Attrition,Concrescence / Gemination,Dental Anomalies,,,,,
"Opalescent teeth with enamel loss, attrition, bulbous crowns, and obliterated pulp chambers are clinical indicators of ",Dentinogenesis imperfecta,Amelogenesis imperfecta,Dentin dysplasia,Tricho-dento-osseous syndrome,Dental Anomalies,Syndromes,,,,
Teeth exhibiting signs of dentinogenesis imperfecta with a thin dentin layer and massively enlarged pulp chambers are termed,Shell teeth,Ghost teeth,Taurodonts,Trichodonts,Dental Anomalies,Syndromes,,,,
"Teeth with short, blunted roots, no pulp canals and a small crescent shaped pulp chamber are characteristics of ",Dentin dysplasia type I,Dentin dysplasia type II,Dentin dysplasia type III,Osteogenesis imperfecta,Dental Anomalies,Syndromes,,,,
A radiographic image of ghost teeth is indicative of ,Regional odontodysplasia,Segmental odontomaxillary dysplasia,Dentin dysplasia type I,Dentin dysplasia type II,Dental Anomalies,Syndromes,,,,
"Oligodontia, a subset of hypodontia, refers to a lack of __________ or more teeth. ",6,2,4,5,Dental Anomalies,,,,,
Additional teeth found in the oral cavity are termed __________ teeth. ,Supernumerary teeth,Hyperdont,Superfluous ,Extra,Dental Anomalies,,,,,
"In addition to many outward signs, hypohidrotic ectodermal dysplasia demonstrates the majority of cases of ",Anodontia,Hyperdontia ,Macrodontia,Microdontia,Dental Anomalies,Syndromes,Dermatologic,,,
Teeth can be present in the oral cavity at birth. ,TRUE,FALSE,,,Dental Anomalies,,,,,
Riga-Fede disease occurs in newborns following,Breast feeding,Face down sleeping,Child abuse,Exposure to carcinogens,Dental Anomalies,,,,,
Microdont teeth are typically seen in the setting of __________ and macrodontia is seen in the setting of __________.,Hypodontia; hyperdontia,Hyperdontia; hypodontia,Anodontia; medialodontia,Megalodontia; anodontia,Dental Anomalies,,,,,
"Regarding microdontia, which tooth is seen most frequently as a microdont?",Maxillary lateral incisor,Maxillary central incisor,Maxillary first premolar,Mandibular central incisor,Dental Anomalies,,,,,
A patient has a normal number of teeth when counted but 1 of these teeth is larger than its counterpart. This finding is referred to as ,Gemination,Doubling,Concrescence ,Fusion,Dental Anomalies,,,,,
It is possible to see gemination and fusion in either the primary or permanent dentitions.,TRUE,FALSE,,,Dental Anomalies,,,,,
A talon cusp is reported to most often appear on a ,Maxillary lateral incisor,Maxillary central incisor,Maxillary canine,Mandibular canine,Dental Anomalies,,,,,
"Ectodermal dysplasia, hypophosphatasia, Down Syndrome, and Tricho-dento-osseous syndromes all have",Taurodontism,Talon cusps,Hypercementosis,Enamel pearls,Dental Anomalies,Syndromes,Systemic,,,
A permanent tooth displaying enamel hypoplasia following periapical inflammation of the overlaying primary tooth is termed,Turner hypoplasia,Touton tooth,Enamel hypoplasia,Enamel opacity ,Dental Anomalies,Chemical/Physical Injury,,,,
Dilacerations may be evident in either the crown or root of a tooth. ,TRUE,FALSE,,,Dental Anomalies,,,,,
"Excessive ingestion of fluoride tends to cause __________ of the enamel surface causing white, chalky appearing areas.",Hypomaturation,Hypermaturation,Hypocalcification,Hypercalcification,Dental Anomalies,,,,,
Anterior teeth altered by congenital syphilis are termed ,Hutchinson incisors,Turner teeth,Mulberry incisors,Hinman incisors,Dental Anomalies,Infection,Bacterial/Fungal,,,
Loss of tooth structure through excessive tooth to tooth contact is termed ,Attrition,Abrasion,Erosion ,Abfraction,Dental Anomalies,,,,,
Erosion of tooth structure may occur when excessive __________ come in contact with teeth for a prolonged period of time. ,Acids,Bases,Neutralizing solutions,Salts,Dental Anomalies,,,,,
Horizontal cervical notches caused by excessive tooth brushing is an example of ,Abrasion,Attrition,Erosion,Abfraction,Dental Anomalies,,,,,
A patient presenting with a pink tooth of Mummery is displaying an example of ,Inflammatory resorption,External resorption,Replacement resorption,Metaplastic resorption,Dental Anomalies,Chemical/Physical Injury,,,,
"Discoloration as a result of medications, fluorosis or dentinogenesis imperfecta is termed __________ discoloration. ",Intrinsic,Extrinsic,,,Dental Anomalies,Chemical/Physical Injury,,,,
A blue-black discoloration of the teeth and connective tissues is a result of the metabolic disorder,Alkaptonuria,Erythropoietic porphyria,Hyperbilirubinemia,Erythroblastosis fetalis,Dental Anomalies,,,,,
Ankylosis is most often seen in which teeth?,Mandibular primary first molars,Maxillary primary first molars,Primary mandibular canine,Primary maxillary canine,Dental Anomalies,,,,,
Prominent radiographic features of segmental odontomaxillary dysplasia include all of the following EXCEPT,Enlarged maxillary sinus of the affected side,Absence of 1 or more maxillary premolars,Hypoplastic primary teeth in the affected area,Vertically oriented bony trabeculae,Dental Anomalies,,,,,
Enamel defects of teeth can be attributed to which of the following factors?,Local and systemic,Environmental and local,Systemic and disseminated,Local and disseminated,Dental Anomalies,,,,,
Enamel defects of the permanent dentition seen within a population can approach ,0.7,0.4,0.5,0.6,Dental Anomalies,,,,,
"Internal resorption is a rare condition, but may occur with each of the following EXCEPT",Brushing with anti-calculus toothpaste,Physical trauma,Caries / pulpitis,Persistent viable pulp tissue,Dental Anomalies,,,,,
The term that refers to small teeth is ,Microdontia,Hypodontia,Micrognathia,Microstomia,Dental Anomalies,,,,,
"As a feature of the syndrome, patients with cleidocranial dysplasia typically show",Many supernumerary teeth,Aortic aneurysm,Arachnodactyly,Bifid clavicles,Dental Anomalies,,,,,
Which of the following is FALSE regarding concrescence?,It involves the fusion of teeth by enamel only,It involves fusion of teeth by cementum only,It is more frequent in the posterior maxilla,It can be developmental due to proximity,Dental Anomalies,,,,,
Which of the following statements about dental abnormalities is FALSE?,Internal resorption almost always occurs in teeth with necrotic pulps,Taurodontism can occur as an isolated trait or as a component of various syndromes,Hypercementosis radiographically shows a thickened or blunted root with a PDL space present surrounded by the lamina dura,Globodontia is associated with high-frequency sensorineural hearing loss,Dental Anomalies,,,,,
"Your 14 year old patient comes in for an evaluation of tooth #6, which has not yet erupted. The PA shows a radiopaque lesion surrounded by a radiolucent line. In addition, it looks as though the patient has numerous “cute” tiny supernumerary teeth in the area. What is your diagnosis?",Compound odontoma ,Mesiodens,Complex odontoma,Adenomatoid odontogenic tumor,Dental Anomalies,,,,,
"Oligodontia, a subset of hypodontia refers to a lack of ________ or more teeth.",6,3,4,5,Dental Anomalies,,,,,
Loss of tooth structure through excessive tooth to tooth contact is termed,Attrition,Abrasion,Erosion ,Abfraction,Dental Anomalies,,,,,
A Turner’s tooth may be caused by all of the following EXCEPT ,Syphilis,Periapical inflammation overlying a deciduous tooth, Extraction of a primary tooth,Trauma to the primary dentition,Dental Anomalies,,,,,
All of the following statements related to alterations in tooth number are correct EXCEPT ,Anodontia is a common manifestation of Ectodermal Dysplasia,Gardner syndrome is associated with hyperdontia ,Oligodontia indicates lack of 6 or more teeth,The term that refers to a supernumerary tooth involving the anterior maxillae is mesiodens  ,Dental Anomalies,Dermatologic,,,,
Which disease has a strong association with hypercementosis?,Paget disease of bone,Osteosarcoma,Osteopetrosis,Osteopetrosis,Dental Anomalies,bone,,,,
"Dens invaginatus is a deep surface invagination of the crown or root that is lined by enamel.  At times, the invagination may be quite large, and this is the origin of the term dens in dente (a tooth, within a tooth).   ",Both statements are true,Both statements are false,"First statement is true, Second statement is false ",First statement is false  Second statement is true ,Dental Anomalies,,,,,
"Opalescent teeth with enamel loss, attrition, bulbous crowns, and obliterated pulp chambers are clinical indicators of",Amelogenesis Imperfecta,Dentinogenesis Imperfecta,Dentin Dysplasia,,Dental Anomalies,,,,,
Periorificial freckling and intestinal polyposis are findings in,Peutz-Jegher syndrome,Oster-Weber-Rendu syndrome,Cannon disease,Ehlers-Danlos syndrome,Dermatologic,Syndromes,Pigmented ,,,
"Photophobia (sun-intolerance), cutaneous squamous cell carcinoma, basal cell carcinoma, and melanomas are features of __________, which has defective epithelial DNA repair. ",Xeroderma pigmentosum,Nail dystrophy,Tetracycline overdose,Palmo-plantar keratosis,Dermatologic,,,,,
Scattered red papules of mucosal surfaces (that blanch on diascopy) and frequent epistaxis (nosebleed) are clinical features of ,Hereditary hemorrhagic telangiectasia,Cellular lobular capillary hemangioma,Ligneous mucositis,Peutz-Jeghers syndrome,Dermatologic,,,,,
"What X-linked disorder demonstrates hypoplasia or aplasia of tissues to include skin, hair, nails, sweat glands and oligodontia or hypodontia?",Ectodermal dysplasia,White sponge nevus,Xeroderma pigmentosum,Tuberous sclerosis,Dermatologic,Dental Anomalies,,,,
"What condition due to defective keratin filaments demonstrates diffuse, symmetrical, thickened white plaques of the buccal mucosa?",White sponge nevus,Candidiasis,Ectodermal dysplasia,Lichen planus,Dermatologic,,,,,
What condition demonstrates oral lesions similair to thoseseen in white sponge nevus but also includes gelatinous plaques affecting the bulbar conjunctiva?,Hereditary benign intraepithelial dyskeratosis,Lichen Planus,Darier disease,Tuberous sclerosis,Dermatologic,,,,,
What rare genodermatosis due to effective DNA repair enzymes results in numerous cutaneous malignancies seen at a very early age?,Xeroderma pigmentosum,Pemphigus vulgaris,Bullous pemphigoid,Darier disease,Dermatologic,,,,,
Darier disease is an autosomal recessive condition resulting in numerous erythematous papules on the skin of the trunk and scalp which develop early in life.,FALSE,TRUE,,,Dermatologic,,,,,
"What condition is characterized by multiple, freckle-like lesions involving the perioral skin in conjunction with intestinal polyposis?",Peutz-Jegher syndrome,Darier disease,Tuberous sclerosis,Pemphigus vulgaris,Dermatologic,,,,,
Over 50% of patients with Peutz-Jeghers syndrome develop gastrointestinal adenocarcinoma resulting in radical surgical intervention. ,FALSE,TRUE,,,Dermatologic,Syndromes,,,,
"What condition due to abnormal collagen production demonstrated hypermobility of the joints, easy bruisability, and marked elasticity of the skin?",Ehlers-Danlos syndrome,Warty dyskeratoma,Hereditary hemorrhagic telangiectasia,Reiter syndrome,Dermatologic,Syndromes,,,,
"50% of patients with Ehlers-Danlos syndrome demonstrate the ability to touch the tip of their nose with their tongue, known as the Gorlin sign.",TRUE,FALSE,,,Dermatologic,Syndromes,,,,
What mucocutaneous disorder due to a defective gene located on chromosome 9 demonstrated numerous vascular hamartomas?,Hereditary hemorrhagic telangiectasia,Multiple hamartoma syndrome,Epidermolysis bullosa,Reiter syndrome,Dermatologic,,,,,
"A solitary, intraoral, pink-white, umbilicated papule located on keratinized mucosa demonstrating identical histomorphology to Darier disease would be diagnosed as ",Warty dyskeratoma,Pachyonychia congenita,Dyskeratosis congenita,Squamous cell carcinoma,Dermatologic,,,,,
